t T p yO2 yO rho
2.330531016462774555e-03 5.197450279666904862e+03 9.434933743973098899e+03 5.378165202962287283e-01 4.621834797037705500e-01 4.777880545520456906e-03
2.376319658935029805e-03 5.182657075381350296e+03 9.414389183891749781e+03 5.368359036103729220e-01 4.631640963896264673e-01 4.777880545520456906e-03
2.422108301407285055e-03 5.168254910107923934e+03 9.394347229134438749e+03 5.358821214261527688e-01 4.641178785738466206e-01 4.777880545520456906e-03
2.467896943879540738e-03 5.154225995367280120e+03 9.374786346636081362e+03 5.349539246327663644e-01 4.650460753672329695e-01 4.777880545520456906e-03
2.513685586351795988e-03 5.140553667096748541e+03 9.355686294205639570e+03 5.340501445083110088e-01 4.659498554916883251e-01 4.777880545520456906e-03
2.559474228824051237e-03 5.127222295173351995e+03 9.337028021501582771e+03 5.331696861566249668e-01 4.668303138433743671e-01 4.777880545520456906e-03
2.605262871296306487e-03 5.114217202807861213e+03 9.318793581731149970e+03 5.323115226608112760e-01 4.676884773391880024e-01 4.777880545520456906e-03
2.651051513768561737e-03 5.101524593455383183e+03 9.300966051180641443e+03 5.314746897896087674e-01 4.685253102103904554e-01 4.777880545520456906e-03
2.696840156240816987e-03 5.089131483855029728e+03 9.283529454961431838e+03 5.306582811582483128e-01 4.693417188417509101e-01 4.777880545520456906e-03
2.742628798713072236e-03 5.077025642950157817e+03 9.266468698906006466e+03 5.298614438215434319e-01 4.701385561784557354e-01 4.777880545520456906e-03
2.788417441185327920e-03 5.065195536526583965e+03 9.249769507639048243e+03 5.290833742832299347e-01 4.709166257167691771e-01 4.777880545520456906e-03
2.834206083657583169e-03 5.053630276952529130e+03 9.233418368181208280e+03 5.283233148762642717e-01 4.716766851237347846e-01 4.777880545520456906e-03
